"n","Position_m","Species","R2","m","b"
95,0,"PIMA",-0.00289486280775564,0.191838564844047,-0.00402029042420116
110,10,"PIMA",0.0546225630642871,0.183449364497474,-0.00921706966226088
110,20,"PIMA",0.0255545103306405,0.183573126579674,-0.00941747071476931
5,30,"BEPA",0,0.174476926470089,NA
130,30,"PIMA",0.143394537812722,0.186816254304623,0.0141272170942712
35,40,"BEPA",-0.00171795774657846,0.537917380477731,-0.0076884947871459
91,40,"PIMA",0.372763286893786,0.141004113512311,0.022736231433001
35,50,"BEPA",-0.00174264401412771,0.562609507304675,-0.00660585315120234
54,50,"PIMA",0.153581889253325,0.274668268323728,0.0171854215405332
55,60,"BEPA",0.0877841804724406,0.289175903858644,0.00612678660539615
45,60,"PIMA",0.519689019518653,0.0331537261578126,0.0413816925776706
59,70,"BEPA",-0.0164132958585472,0.371917209537067,-0.00129543491850585
20,70,"PIMA",0.714152138484687,0.317717460416114,0.0518303341653282
