"Transect","Position_m","Depth_cm"
"T5",0,73
"T5",2.5,103
"T5",5,74.5
"T5",7.5,94
"T5",10,100.5
"T5",12.5,109
"T5",15,85.5
"T5",17.5,92
"T5",20,59.5
"T5",22.5,91
"T5",25,96
"T5",27.5,80
"T5",30,82.5
"T5",32.5,89
"T5",35,92.5
"T5",37.5,113
"T5",40,98
"T5",42.5,145
"T5",45,116
"T5",47.5,NA
"T5",50,142
"T5",55,151
"T5",60,122
"T5",65,95
"T5",70,151
"T5",75,151
"T6",0,104.5
"T6",2.5,84
"T6",5,68
"T6",7.5,92
"T6",10,114
"T6",12.5,128
"T6",15,120
"T6",17.5,127
"T6",20,92.5
"T6",22.5,125
"T6",25,94
"T6",27.5,82
"T6",30,88.5
"T6",32.5,89
"T6",35,76.5
"T6",37.5,106
"T6",40,113.5
"T6",42.5,140
"T6",45,119.5
"T6",50,134
"T6",55,79
"T6",60,66
"T6",65,109
"T6",70,151
"T6",75,72
"T7",0,108.5
"T7",2.5,86
"T7",5,75.5
"T7",7.5,100
"T7",10,65.5
"T7",12.5,122
"T7",15,85
"T7",17.5,80
"T7",20,70.5
"T7",22.5,93
"T7",25,74.5
"T7",27.5,93
"T7",30,81.5
"T7",32.5,97
"T7",35,75
"T7",37.5,102
"T7",40,94.5
"T7",42.5,104
"T7",45,101.5
"T7",47.5,134
"T7",50,109.5
"T7",52.5,151
"T7",55,151
"T7",60,151
"T7",65,151
"T7",70,151
"T7",75,151
"T8",0,61
"T8",2.5,60
"T8",5,57
"T8",7.5,60
"T8",10,61.5
"T8",12.5,70
"T8",15,59
"T8",17.5,63
"T8",20,60
"T8",22.5,63
"T8",25,62
"T8",27.5,68
"T8",30,60
"T8",32.5,70
"T8",35,78
"T8",37.5,111
"T8",40,114
"T8",42.5,134
"T8",45,142
"T8",47.5,151
"T8",50,151
"T8",55,151
"T8",60,151
"T8",65,140
"T8",70,130
"T8",75,151
"T9",0,50.5
"T9",2.5,59
"T9",5,64.5
"T9",7.5,61
"T9",10,67.5
"T9",12.5,46
"T9",15,48
"T9",17.5,69
"T9",20,65.5
"T9",22.5,70
"T9",25,57.5
"T9",27.5,70
"T9",30,56
"T9",32.5,71
"T9",35,85.5
"T9",37.5,112
"T9",40,108
"T9",42.5,149
"T9",45,136
"T9",47.5,151
"T9",50,151
"T9",55,151
"T9",60,151
"T9",65,151
"T9",70,151
"T9",75,151
"T10",0,56.5
"T10",2.5,75
"T10",5,54.5
"T10",7.5,63
"T10",10,59.5
"T10",12.5,67
"T10",15,60.5
"T10",17.5,97
"T10",20,92.5
"T10",22.5,107
"T10",25,92
"T10",27.5,151
"T10",30,128.5
"T10",32.5,150
"T10",35,150.5
"T10",37.5,151
"T10",40,113
"T10",45,97
"T10",50,124
"T10",55,76
"T10",60,148
"T10",65,151
"T10",70,151
"T10",75,151
